0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:16:55 -0800] "POST /project_3/ctl/SubjectListCtl HTTP/1.1" 200 14852
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:17:00 -0800] "POST /project_3/ctl/SubjectListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:17:00 -0800] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 14584
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:17:10 -0800] "GET /project_3/ctl/RoleListCtl HTTP/1.1" 200 12838
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:17:21 -0800] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 13374
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:17:27 -0800] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 15648
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:17:27 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:17:27 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:17:31 -0800] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 13671
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:20:14 -0800] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:20:14 -0800] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 15648
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:20:14 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:20:14 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:21:49 -0800] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 15817
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:21:49 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:21:49 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:21:56 -0800] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 15999
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:21:56 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:21:56 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:01 -0800] "GET /project_3/ctl/RoleListCtl HTTP/1.1" 200 12838
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:06 -0800] "POST /project_3/ctl/RoleListCtl HTTP/1.1" 200 12763
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:11 -0800] "POST /project_3/ctl/RoleListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:11 -0800] "GET /project_3/ctl/RoleListCtl HTTP/1.1" 200 12464
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:14 -0800] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 15617
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:14 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:14 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:17 -0800] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 14140
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:22 -0800] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:22 -0800] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 15617
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:22 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
